Id,Label,class
Protein,Protein,8
Paleontology,Paleontology,8
Photosynthesis,Photosynthesis,8
Reproduction,Reproduction,8
Sex,Sex,8
Pregnancy,Pregnancy,8
Sleep,Sleep,8
Taxonomy_(biology),Taxonomy (biology),8
Species,Species,8
Chemistry,Chemistry,8
Biochemistry,Biochemistry,8
Inorganic_chemistry,Inorganic chemistry,8
Organic_chemistry,Organic chemistry,8
Physical_chemistry,Physical chemistry,8
Chemical_element,Chemical element,8
Periodic_table,Periodic table,8
Aluminium,Aluminium,8
Carbon,Carbon,8
Copper,Copper,8
Gold,Gold,8
Hydrogen,Hydrogen,8
Iron,Iron,8
Nitrogen,Nitrogen,8
Oxygen,Oxygen,8
Phosphorus,Phosphorus,8
Silicon,Silicon,8
Silver,Silver,8
Sulfur,Sulfur,8
Chemical_compound,Chemical compound,8
Water,Water,8
Carbon_dioxide,Carbon dioxide,8
Chemical_bond,Chemical bond,8
Molecule,Molecule,8
Chemical_reaction,Chemical reaction,8
Acid%E2%80%93base_reaction,Acid–base reaction,8
Catalysis,Catalysis,8
Redox,Redox,8
Metal,Metal,8
Alloy,Alloy,8
Bronze,Bronze,8
Steel,Steel,8
Earth_science,Earth science,8
History_of_Earth,History of Earth,8
Atmosphere_of_Earth,Atmosphere of Earth,8
Structure_of_Earth,Structure of Earth,8
Season,Season,8
Flood,Flood,8
Climate,Climate,8
Climate_change,Climate change,8
Weather,Weather,8
Cloud,Cloud,8
Rain,Rain,8
Snow,Snow,8
Tornado,Tornado,8
Tropical_cyclone,Tropical cyclone,8
Wind,Wind,8
Geology,Geology,8
Earthquake,Earthquake,8
Erosion,Erosion,8
Mineral,Mineral,8
Plate_tectonics,Plate tectonics,8
Rock_(geology),Rock (geology),8
Soil,Soil,8
Volcano,Volcano,8
Technology,Technology,9
Engineering,Engineering,9
Civil_engineering,Civil engineering,9
Mechanical_engineering,Mechanical engineering,9
Electricity,Electricity,9
Electric_battery,Electric battery,9
Fire,Fire,9
Explosive,Explosive,9
Gunpowder,Gunpowder,9
Fossil_fuel,Fossil fuel,9
Coal,Coal,9
Natural_gas,Natural gas,9
Petroleum,Petroleum,9
Nuclear_power,Nuclear power,9
Renewable_energy,Renewable energy,9
Hydropower,Hydropower,9
Solar_energy,Solar energy,9
Wind_power,Wind power,9
Animal_husbandry,Animal husbandry,9
Domestication,Domestication,9
Biotechnology,Biotechnology,9
Genetic_engineering,Genetic engineering,9
Fertilizer,Fertilizer,9
Food_preservation,Food preservation,9
Garden,Garden,9
Medical_imaging,Medical imaging,9
Refrigeration,Refrigeration,9
Stove,Stove,9
Weapon,Weapon,9
Armour,Armour,9
Bow_and_arrow,Bow and arrow,9
Firearm,Firearm,9
Knife,Knife,9
Nuclear_weapon,Nuclear weapon,9
Tool,Tool,9
Simple_machine,Simple machine,9
Wheel,Wheel,9
Engine,Engine,9
Electric_motor,Electric motor,9
Internal_combustion_engine,Internal combustion engine,9
Jet_engine,Jet engine,9
Steam_engine,Steam engine,9
Robotics,Robotics,9
Printing,Printing,9
Book,Book,9
Mail,Mail,9
Telecommunications,Telecommunications,9
Internet,Internet,9
Radio,Radio,9
Telephone,Telephone,9
Mobile_phone,Mobile phone,9
Video,Video,9
Television,Television,9
Computer_science,Computer science,9
Computer,Computer,9
Artificial_intelligence,Artificial intelligence,9
Cryptography,Cryptography,9
Electronics,Electronics,9
